Year,Sem,,College,Dept,Num,Section,Instructor,Course Name,Course Level,Total # Students,# Responses,Response Rate,Hrs Per Week,Interest in student learning,Clearly explain course requirements,Clear learning objectives & goals,Instructor provides feedback to students to improve,Demonstrate importance of subject matter,Explains subject matter of course,Show respect for all students,Overall teaching rate,,Overall course rate
2019,Fall,, College of Fine Arts,ARC,48785,A,"FICCA, JEREMY",MAAD RES PROJ,Graduate,4,4,100.0%,13.25,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,5.00
2019,Fall,, College of Fine Arts,ARC,48785,A,"BARD, JOSHUA",MAAD RES PROJ,Graduate,4,4,100.0%,13.25,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,5.00
2019,Fall,, College of Fine Arts,ARC,48798,A,"BAIRD, NINA",HVAC & PS LOW CARB B,Graduate,9,7,77.8%,6.29,5.00,4.86,4.71,5.00,4.86,4.71,4.57,4.86,,4.86
2019,Fall,, College of Fine Arts,ART,60101,C,"JOHNSON, ANDREW",CONCEPT: SELF/HUMAN,Undergraduate,19,13,68.4%,9.62,4.38,3.38,3.92,4.54,4.15,3.92,4.00,4.00,,4.15
2019,Fall,, College of Fine Arts,ART,60101,A,"HUBBARD, KATIE",CONCEPT: SELF/HUMAN,Undergraduate,15,10,66.7%,13.80,4.60,4.30,4.20,4.40,4.10,3.90,4.30,4.00,,4.00
2019,Fall,, College of Fine Arts,ART,60101,B,"WORMSLEY, ALISHA",CONCEPT: SELF/HUMAN,Undergraduate,19,8,42.1%,8.00,4.63,4.38,4.13,4.25,4.50,4.25,4.75,4.13,,4.38
2019,Fall,, College of Fine Arts,ART,60105,A,"VERSARI, MARIA ELENA",CRITICAL THEORY I,Undergraduate,19,12,63.2%,5.50,4.83,4.75,4.25,4.42,4.67,4.50,4.75,4.67,,4.50
2019,Fall,, College of Fine Arts,ART,60105,B,"VERSARI, MARIA ELENA",CRITICAL THEORY I,Undergraduate,18,9,50.0%,6.00,3.89,3.78,3.78,3.67,4.44,4.33,4.33,3.89,,3.67
2019,Fall,, College of Fine Arts,ART,60131,D1,"CHURCH, SIDNEY",3D MEDIA STUDIO I,Undergraduate,9,7,77.8%,14.57,4.71,4.29,4.43,4.57,4.29,4.14,4.71,4.71,,4.14
2019,Fall,, College of Fine Arts,ART,60131,B1,"HANSEN, ISLA",3D MEDIA STUDIO I,Undergraduate,9,5,55.6%,6.80,4.40,4.00,4.40,4.80,4.20,4.40,4.40,4.00,,4.20
2019,Fall,, College of Fine Arts,ART,60131,A1,"GURYSH, STEVEN",3D MEDIA STUDIO I,Undergraduate,11,8,72.7%,14.25,4.88,4.63,4.86,4.86,4.57,4.86,5.00,4.86,,4.71
2019,Fall,, College of Fine Arts,ART,60131,C1,"KUMATA, CAROL",3D MEDIA STUDIO I,Undergraduate,8,4,50.0%,8.75,4.25,4.25,4.25,4.75,3.25,4.75,5.00,4.00,,4.25
2019,Fall,, College of Fine Arts,ART,60132,B2,"HANSEN, ISLA",3D MEDIA STUDIO I,Undergraduate,9,7,77.8%,7.14,4.57,4.71,4.43,4.43,4.57,4.57,4.86,4.71,,4.71
2019,Fall,, College of Fine Arts,ART,60132,D2,"CHURCH, SIDNEY",3D MEDIA STUDIO I,Undergraduate,10,6,60.0%,7.00,4.33,4.67,4.33,4.50,4.50,4.33,4.67,4.50,,4.67
2019,Fall,, College of Fine Arts,ART,60132,C2,"KUMATA, CAROL",3D MEDIA STUDIO I,Undergraduate,5,2,40.0%,8.00,5.00,4.50,5.00,4.00,4.00,5.00,5.00,4.50,,5.00
2019,Fall,, College of Fine Arts,ART,60132,A2,"GURYSH, STEVEN",3D MEDIA STUDIO I,Undergraduate,12,6,50.0%,7.00,4.00,4.00,4.17,4.17,4.33,4.17,4.50,4.17,,4.00
2019,Fall,, College of Fine Arts,ART,60141,B,"CARROLL, SEAN",B & W PHOTOGRAPHY I,Undergraduate,5,2,40.0%,12.50,4.50,5.00,4.50,4.50,4.50,4.50,4.50,4.00,,5.00
2019,Fall,, College of Fine Arts,ART,60142,A,"VITONE, DYLAN",DIGITAL PHOTOGRPHY I,Undergraduate,4,4,100.0%,10.25,4.75,4.00,3.75,4.50,4.00,4.50,5.00,4.25,,4.25
2019,Fall,, College of Fine Arts,ART,60145,A,"HENNINGER, Michael",PHOTOJOURNALISM,Undergraduate,3,2,66.7%,9.50,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,5.00
2019,Fall,, College of Fine Arts,ART,60150,A,"WESTBROOK, NATALIE",2D MDA STD: DRAWING,Undergraduate,15,10,66.7%,9.50,4.20,3.90,3.90,4.70,4.30,4.50,4.50,4.00,,4.30
2019,Fall,, College of Fine Arts,ART,60150,C,"MERRELL, CLAYTON",2D MDA STD: DRAWING,Undergraduate,17,8,47.1%,11.50,4.63,4.50,4.50,4.25,4.88,4.50,4.88,4.50,,4.38
2019,Fall,, College of Fine Arts,ART,60150,B,"MULLINS, PAUL",2D MDA STD: DRAWING,Undergraduate,15,8,53.3%,10.25,4.88,4.75,4.88,4.63,4.75,4.75,5.00,4.75,,4.88
2019,Fall,, College of Fine Arts,ART,60157,A,"LETTS KOVAK, KRISTEN",DRAWING NON-MAJORS,Undergraduate,14,9,64.3%,11.00,4.89,4.89,5.00,4.67,4.89,5.00,4.67,4.78,,4.89
2019,Fall,, College of Fine Arts,ART,60201,A,"BINGHAM, ROBERT",CONCEPT: SPACE&TIME,Undergraduate,16,6,37.5%,12.67,4.67,3.33,3.67,4.33,4.33,3.67,4.67,4.00,,4.00
2019,Fall,, College of Fine Arts,ART,60201,B,"ANDREW, SCOTT",CONCEPT: SPACE&TIME,Undergraduate,13,10,76.9%,7.10,4.60,4.50,4.30,4.70,4.10,4.50,4.70,4.50,,4.30
2019,Fall,, College of Fine Arts,ART,60202,A,"CARSON, JOHN",CONCEPT: SYSTEM/PROC,Undergraduate,7,3,42.9%,9.00,4.33,4.00,4.00,4.67,4.33,3.67,4.33,4.00,,3.67
2019,Fall,, College of Fine Arts,ART,60202,B,"CARSON, JOHN",CONCEPT: SYSTEM/PROC,Undergraduate,8,2,25.0%,11.00,4.50,5.00,4.50,4.50,4.00,4.50,4.50,4.50,,4.50
2019,Fall,, College of Fine Arts,ART,60205,A,"RAGONA, MELISSA",CRITICAL THEORY III,Undergraduate,10,3,30.0%,8.00,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,,4.67
